Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,44.005001,45.994999,43.005001,43.095001,43.095001,14857,1.0
2019-01-03,43.095001,44.16,42.895,43.75,43.75,3551,1.0
2019-01-04,44.150002,44.724998,43.009997999999996,44.165001000000004,44.165001000000004,3208,1.0
2019-01-07,43.0,44.985001000000004,43.0,43.68,43.68,6801,1.0
2019-01-08,43.950001,47.0,43.950001,44.220001,44.220001,22467,1.0
2019-01-09,45.965,46.215,45.025002,45.200001,45.200001,5395,1.0
2019-01-10,45.599998,45.599998,43.724998,44.165001000000004,44.165001000000004,17009,1.0
2019-01-11,46.945,46.945,43.705002,44.805,44.805,4056,1.0
2019-01-14,45.0,46.435001,44.105,44.549999,44.549999,4111,1.0
2019-01-15,44.549999,46.494999,44.240002000000004,44.5,44.5,10000,1.0
2019-01-16,45.0,46.93,44.099998,44.994999,44.994999,14018,1.0
2019-01-17,46.990002000000004,46.990002000000004,45.025002,45.610001000000004,45.610001000000004,6236,1.0
2019-01-18,46.330002,46.330002,45.099998,45.299999,45.299999,80355,1.0
2019-01-21,46.195,46.195,44.005001,44.630001,44.630001,10104,1.0
2019-01-22,44.240002000000004,45.299999,43.75,44.09,44.09,8877,1.0
2019-01-23,44.0,44.244999,43.130001,43.535,43.535,9555,1.0
2019-01-24,44.775002,44.775002,42.0,42.099998,42.099998,39330,1.0
2019-01-25,44.794998,44.794998,42.599998,42.935001,42.935001,52375,1.0
2019-01-28,42.935001,42.935001,41.599998,41.849998,41.849998,9058,1.0
2019-01-29,43.0,43.810001,42.005001,42.555,42.555,11173,1.0
2019-01-30,43.494999,43.494999,41.799999,41.900002,41.900002,4344,1.0
2019-01-31,43.939999,43.939999,41.900002,42.0,42.0,105149,1.0
2019-02-01,42.105,43.485001000000004,42.099998,42.119999,42.119999,8837,1.0
2019-02-04,41.5,42.119999,41.5,41.799999,41.799999,9164,1.0
2019-02-05,41.845001,48.0,41.845001,44.419998,44.419998,170165,1.0
2019-02-06,43.325001,44.075001,42.830002,42.900002,42.900002,6831,1.0
2019-02-07,42.904999,43.924999,42.0,42.0,42.0,19424,1.0
2019-02-08,42.299999,45.435001,41.810001,42.75,42.75,41636,1.0
2019-02-11,42.75,44.244999,42.5,43.709998999999996,43.709998999999996,10803,1.0
2019-02-12,45.994999,46.875,43.299999,43.400002,43.400002,53827,1.0
2019-02-13,46.299999,46.299999,42.209998999999996,43.294998,43.294998,16714,1.0
2019-02-14,42.330002,44.174999,42.119999,42.355,42.355,11869,1.0
2019-02-15,42.994999,43.0,42.349998,42.450001,42.450001,56183,1.0
2019-02-18,42.455002,43.924999,42.450001,43.134997999999996,43.134997999999996,6077,1.0
2019-02-19,42.799999,43.875,42.700001,43.695,43.695,7599,1.0
2019-02-20,42.650002,44.0,42.650002,43.27,43.27,10765,1.0
2019-02-21,43.27,43.27,42.5,42.5,42.5,6844,1.0
2019-02-22,42.505001,43.0,42.0,42.314999,42.314999,10401,1.0
2019-02-25,42.314999,42.965,42.005001,42.299999,42.299999,6111,1.0
2019-02-26,42.005001,42.200001,41.700001,42.0,42.0,10931,1.0
2019-02-27,42.299999,43.0,41.919998,43.0,43.0,3641,1.0
2019-02-28,43.0,43.0,41.02,41.195,41.195,103801,1.0
2019-03-01,41.205002,42.345001,41.0,41.0,41.0,16715,1.0
2019-03-04,41.259997999999996,42.744999,41.099998,41.099998,41.099998,8345,1.0
2019-03-05,41.150002,42.200001,40.0,41.400002,41.400002,182752,1.0
2019-03-06,41.400002,41.955002,41.400002,41.610001000000004,41.610001000000004,13270,1.0
2019-03-07,41.615002000000004,42.490002000000004,40.849998,41.02,41.02,10315,1.0
2019-03-08,41.0,41.009997999999996,39.950001,40.700001,40.700001,30140,1.0
2019-03-11,40.005001,41.904999,40.005001,41.084998999999996,41.084998999999996,7223,1.0
2019-03-12,41.0,41.514998999999996,40.040001000000004,41.005001,41.005001,17733,1.0
2019-03-13,40.810001,41.645,40.810001,41.400002,41.400002,10829,1.0
2019-03-14,41.490002000000004,41.889998999999996,41.0,41.509997999999996,41.509997999999996,10530,1.0
2019-03-15,41.5,41.895,41.060001,41.895,41.895,19475,1.0
2019-03-18,41.599998,41.900002,41.25,41.595001,41.595001,23889,1.0
2019-03-19,41.599998,41.599998,40.875,41.110001000000004,41.110001000000004,16154,1.0
2019-03-20,40.5,41.470001,40.5,41.174999,41.174999,20427,1.0
2019-03-21,41.099998,41.895,41.099998,41.689999,41.689999,7225,1.0
2019-03-22,41.599998,41.654999,40.580002,40.880001,40.880001,9605,1.0
2019-03-25,40.880001,45.0,40.0,43.5,43.5,66937,1.0
2019-03-26,43.5,45.220001,43.255001,44.43,44.43,14492,1.0
2019-03-27,46.400002,48.0,45.945,46.650002,46.650002,27733,1.0
2019-03-28,46.650002,46.650002,45.0,46.299999,46.299999,35098,1.0
2019-03-29,47.650002,47.650002,44.365002000000004,46.555,46.555,22697,1.0
2019-04-01,46.599998,46.599998,45.0,46.299999,46.299999,130834,1.0
2019-04-02,46.299999,46.450001,45.0,45.400002,45.400002,6571,1.0
2019-04-03,45.400002,46.599998,44.150002,44.950001,44.950001,51791,1.0
2019-04-04,45.25,46.0,44.150002,45.299999,45.299999,6606,1.0
2019-04-05,45.299999,46.0,45.299999,45.349998,45.349998,5724,1.0
2019-04-08,45.950001,45.950001,44.5,45.700001,45.700001,6571,1.0
2019-04-09,44.900002,45.349998,43.150002,44.349998,44.349998,4035,1.0
2019-04-10,43.75,50.099998,43.75,48.599998,48.599998,87241,1.0
2019-04-11,50.0,54.700001,50.0,53.0,53.0,199384,1.0
2019-04-12,54.700001,55.5,53.0,55.0,55.0,122840,1.0
2019-04-15,56.599998,57.599998,54.200001,55.400002,55.400002,73365,1.0
2019-04-16,55.599998,57.400002,53.099998,54.299999,54.299999,65759,1.0
2019-04-17,53.900002,53.900002,49.0,50.799999,50.799999,59994,1.0
2019-04-18,49.400002,49.950001,48.0,49.849998,49.849998,23739,1.0
2019-04-23,49.049999,50.0,48.299999,50.0,50.0,12775,1.0
2019-04-24,49.950001,49.950001,47.450001,49.400002,49.400002,33049,1.0
2019-04-25,49.0,49.099998,47.549999,49.0,49.0,27874,1.0
2019-04-26,49.0,49.099998,46.549999,48.099998,48.099998,40651,1.0
2019-04-29,48.5,48.700001,47.349998,47.849998,47.849998,12830,1.0
2019-04-30,47.900002,47.900002,47.0,47.900002,47.900002,6110,1.0
2019-05-02,47.900002,50.599998,46.75,48.400002,48.400002,18742,1.0
2019-05-03,48.450001,48.799999,47.099998,48.450001,48.450001,6704,1.0
2019-05-06,47.200001,48.049999,45.599998,47.799999,47.799999,16467,1.0
2019-05-07,48.200001,48.5,46.549999,47.950001,47.950001,12579,1.0
2019-05-08,45.900002,47.0,45.5,46.049999,46.049999,29242,1.0
2019-05-09,46.0,46.549999,45.650002,46.150002,46.150002,10643,1.0
2019-05-10,46.5,46.950001,45.549999,46.700001,46.700001,6536,1.0
2019-05-13,46.5,47.400002,45.049999,47.099998,47.099998,13682,1.0
2019-05-14,46.0,47.5,45.799999,46.599998,46.599998,7077,1.0
2019-05-15,46.599998,46.599998,45.5,45.5,45.5,7476,1.0
2019-05-16,45.5,47.0,45.5,47.0,47.0,9092,1.0
2019-05-17,47.5,49.450001,47.5,48.549999,48.549999,7509,1.0
2019-05-20,48.549999,49.200001,47.75,49.150002,49.150002,2846,1.0
2019-05-21,49.25,49.75,48.25,49.25,49.25,9477,1.0
2019-05-22,49.25,49.25,48.0,49.25,49.25,10662,1.0
2019-05-23,49.25,50.0,47.75,48.900002,48.900002,16395,1.0
2019-05-24,49.5,49.5,48.299999,48.799999,48.799999,3458,1.0
2019-05-27,48.799999,48.799999,48.150002,48.799999,48.799999,4068,1.0
2019-05-28,48.799999,49.900002,46.549999,49.5,49.5,43026,1.0
2019-05-29,50.0,50.0,49.049999,49.099998,49.099998,12006,1.0
